iter	Passed	Remaining
0	60	60465
1	154	76995
2	249	82967
3	325	81065
4	419	83569
5	508	84246
6	605	85835
7	699	86712
8	796	87691
9	888	87964
10	978	88020
11	1071	88258
12	1163	88305
13	1256	88486
14	1348	88547
15	1442	88688
16	1539	88999
17	1633	89134
18	1722	88913
19	1815	88944
20	1909	89007
21	2001	88983
22	2094	88967
23	2199	89440
24	2292	89405
25	2385	89353
26	2481	89412
27	2573	89331
28	2668	89338
29	2760	89250
30	2852	89158
31	2945	89107
32	3049	89360
33	3144	89343
34	3238	89276
35	3329	89149
36	3421	89060
37	3517	89054
38	3608	88927
39	3706	88946
40	3801	88910
41	3891	88764
42	3984	88680
43	4079	88626
44	4173	88568
45	4263	88424
46	4358	88366
47	4453	88322
48	4544	88208
49	4634	88058
50	4727	87966
51	4824	87953
52	4916	87852
53	5011	87794
54	5105	87716
55	5196	87598
56	5293	87567
57	5385	87462
58	5479	87398
59	5568	87233
60	5659	87124
61	5753	87046
62	5844	86924
63	5936	86827
64	6031	86759
65	6126	86704
66	6214	86537
67	6309	86480
68	6404	86417
69	6501	86375
70	6593	86278
71	6687	86190
72	6783	86141
73	6878	86076
74	6973	86000
75	7067	85924
76	7159	85825
77	7252	85729
78	7341	85591
79	7430	85456
80	7521	85341
81	7612	85217
82	7705	85135
83	7795	85012
84	7888	84914
85	7972	84728
86	8060	84587
87	8154	84512
88	8247	84420
89	8359	84526
90	8492	84829
91	8637	85247
92	8781	85639
93	8907	85851
94	9009	85823
95	9108	85767
96	9202	85670
97	9301	85612
98	9401	85560
99	9501	85514
100	9596	85416
101	9689	85301
102	9790	85263
103	9886	85176
104	9981	85080
105	10077	84996
106	10172	84898
107	10267	84805
108	10360	84691
109	10451	84558
110	10551	84507
111	10646	84411
112	10736	84278
113	10838	84239
114	10939	84184
115	11032	84072
116	11125	83964
117	11221	83872
118	11323	83830
119	11424	83776
120	11516	83659
121	11618	83618
122	11714	83525
123	11811	83440
124	11902	83316
125	11997	83220
126	12089	83105
127	12183	83001
128	12279	82913
129	12370	82787
130	12466	82698
131	12558	82584
132	12651	82472
133	12748	82388
134	12839	82270
135	12942	82221
136	13035	82116
137	13128	82003
138	13222	81901
139	13311	81770
140	13407	81681
141	13499	81568
142	13586	81425
143	13650	81143
144	13737	81004
145	13830	80900
146	13920	80778
147	14011	80662
148	14103	80550
149	14193	80428
150	14284	80313
151	14390	80286
152	14487	80201
153	14585	80126
154	14673	79992
155	14766	79888
156	14857	79775
157	14954	79695
158	15047	79591
159	15138	79479
